Date,open,high,low,close,changes
2023-11-23,1148.6,1149.2,1148.4,1149.2,
2023-11-24,1151.4,1153.0,1146.5,1148.6,-0.05221023320572019
2023-11-25,1147.5,1151.4,1147.5,1149.1,0.04353125544140693
2023-11-26,1154.9,1155.5,1151.0,1151.1,0.17404925593943088
2023-11-27,1156.8,1157.8,1155.5,1155.7,0.3996177569281676
2023-11-28,1156.1,1156.7,1154.0,1156.3,0.051916587349650344
2023-11-29,1155.2,1158.4,1152.0,1153.6,-0.23350341606849828
2023-11-30,1156.2,1157.4,1155.8,1157.4,0.32940360610265107
2023-12-01,,,,,
2023-12-02,,,,,
2023-12-03,1151.9,1151.9,1151.9,1151.9,
2023-12-04,1151.5,1159.8,1151.5,1157.6,0.49483462106084014
2023-12-05,1157.6,1165.5,1157.6,1164.2,0.5701451278507375
2023-12-06,1169.8,1172.9,1169.0,1172.5,0.7129359216629405
2023-12-07,1173.4,1184.4,1173.4,1182.1,0.818763326226005
2023-12-08,1182.1,1182.1,1182.1,1182.1,0.0
2023-12-09,,,,,
2023-12-10,1197.4,1197.4,1197.4,1197.4,
